##BEG header separator=,
Start Date,Wed Mar 11 01:35:30 2015
End Date,Wed Mar 11 01:35:32 2015
Duration,1.611133,sec
Application Name,unknown
Type of Report,final
Thread Count,8
ompP Version Major,0
ompP Version Minor,8
ompP Version Revision,99
ompP Build Date,Nov 16 2014 11:48:18
PAPI Support,available
Max Counters,4
PAPI Active,no
Used Counters,0
OMPP_CTR1,not set
OMPP_CTR2,not set
OMPP_CTR3,not set
OMPP_CTR4,not set
Max Evaluators,4
Used Evaluators,0
OMPP_EVAL1,not set
OMPP_EVAL2,not set
OMPP_EVAL3,not set
OMPP_EVAL4,not set
##END header
##BEG region overview
PARALLEL,2
R00001,PARALLEL,main.c,41,42,
R00002,PARALLEL,main.c,180,208,
LOCK,9
R00005,LOCK,
R00006,LOCK,
R00007,LOCK,
R00008,LOCK,
R00009,LOCK,
R00010,LOCK,
R00011,LOCK,
R00012,LOCK,
R00013,LOCK,
##END region overview

##BEG ompp callgraph
Inclusive,(%),Exclusive,(%)
1.611133,100.0,0.001582,0.098186,0,[unknown: 8 threads]
0.000231,0.014339,0.000231,0.014339,1,R00001,PARALLEL,main.c,41,42,
1.609320,99.887475,1.609320,99.887475,1,R00002,PARALLEL,main.c,180,208,
##END ompp callgraph

##BEG flat region profiles
##BEG R00001 flat profile
R00001,PARALLEL,main.c,41,42,
TID,execT,execC,bodyT,exitBarT,startupT,shutdwnT,taskT
0,0.000229,1,0.000002,0.000020,0.000202,0.000004,0.000000
1,0.000229,1,0.000002,0.000023,0.000199,0.000004,0.000000
2,0.000229,1,0.000003,0.000023,0.000199,0.000004,0.000000
3,0.000229,1,0.000004,0.000020,0.000201,0.000003,0.000000
4,0.000229,1,0.000003,0.000019,0.000201,0.000005,0.000000
5,0.000229,1,0.000003,0.000021,0.000201,0.000003,0.000000
6,0.000229,1,0.000001,0.000024,0.000199,0.000004,0.000000
7,0.000229,1,0.000002,0.000023,0.000201,0.000003,0.000000
SUM,0.001833,8,0.000020,0.000173,0.001603,0.000031,0.000000
##END R00001 flat profile

##BEG R00005 flat profile
R00005,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,1.115266,4770,0.156633,0.955932,0.002701
1,1.097773,5294,0.164369,0.930378,0.003026
2,1.095223,5247,0.164240,0.928134,0.002849
3,0.820025,7941,0.251286,0.564798,0.003942
4,1.060029,5431,0.172851,0.883976,0.003202
5,0.820482,7700,0.249690,0.566758,0.004034
6,1.102075,4777,0.155961,0.943300,0.002814
7,0.817725,8348,0.258529,0.554273,0.004924
SUM,7.928599,49508,1.573558,6.327550,0.027492
##END R00005 flat profile

##BEG R00006 flat profile
R00006,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.204429,4413,0.147625,0.054191,0.002613
1,0.211152,4582,0.152187,0.056230,0.002734
2,0.210130,4580,0.151603,0.055748,0.002779
3,0.323652,6981,0.232296,0.087044,0.004312
4,0.222183,4775,0.161236,0.058050,0.002896
5,0.323555,6879,0.232121,0.087398,0.004037
6,0.201347,4277,0.146253,0.052771,0.002323
7,0.331532,7262,0.237983,0.089461,0.004087
SUM,2.027978,43749,1.461304,0.540893,0.025782
##END R00006 flat profile

##BEG R00007 flat profile
R00007,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.146483,3810,0.127621,0.016433,0.002430
1,0.151684,3896,0.132330,0.016818,0.002537
2,0.150821,3863,0.131929,0.016479,0.002413
3,0.234961,5967,0.203372,0.027902,0.003688
4,0.160691,4118,0.141011,0.016896,0.002783
5,0.235070,6009,0.203725,0.027496,0.003849
6,0.145862,3711,0.128267,0.015201,0.002394
7,0.236182,6125,0.204868,0.027707,0.003607
SUM,1.461754,37499,1.273122,0.164931,0.023701
##END R00007 flat profile

##BEG R00008 flat profile
R00008,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.108202,3108,0.102251,0.003712,0.002239
1,0.112241,3239,0.106078,0.003828,0.002335
2,0.113127,3228,0.107104,0.003842,0.002181
3,0.174845,5017,0.163868,0.007607,0.003370
4,0.121067,3451,0.114396,0.004153,0.002517
5,0.174310,5024,0.163446,0.007421,0.003443
6,0.111941,3170,0.105817,0.003799,0.002325
7,0.173124,5012,0.161923,0.007596,0.003605
SUM,1.088857,31249,1.024884,0.041959,0.022014
##END R00008 flat profile

##BEG R00009 flat profile
R00009,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.068075,2462,0.065446,0.001377,0.001251
1,0.070815,2545,0.068110,0.001446,0.001259
2,0.072035,2601,0.069223,0.001498,0.001313
3,0.110526,4019,0.106262,0.002263,0.002001
4,0.077198,2758,0.074095,0.001591,0.001512
5,0.110207,4028,0.105942,0.002199,0.002066
6,0.073629,2613,0.070667,0.001451,0.001512
7,0.109446,3973,0.104778,0.002318,0.002351
