##BEG header separator=,
Start Date,Wed Mar 11 01:35:23 2015
End Date,Wed Mar 11 01:35:23 2015
Duration,0.001155,sec
Application Name,unknown
Type of Report,final
Thread Count,8
ompP Version Major,0
ompP Version Minor,8
ompP Version Revision,99
ompP Build Date,Nov 16 2014 11:48:18
PAPI Support,available
Max Counters,4
PAPI Active,no
Used Counters,0
OMPP_CTR1,not set
OMPP_CTR2,not set
OMPP_CTR3,not set
OMPP_CTR4,not set
Max Evaluators,4
Used Evaluators,0
OMPP_EVAL1,not set
OMPP_EVAL2,not set
OMPP_EVAL3,not set
OMPP_EVAL4,not set
##END header
##BEG region overview
PARALLEL,2
R00001,PARALLEL,main.c,41,42,
R00002,PARALLEL,main.c,180,208,
LOCK,9
R00005,LOCK,
R00006,LOCK,
R00007,LOCK,
R00008,LOCK,
R00009,LOCK,
R00010,LOCK,
R00011,LOCK,
R00012,LOCK,
R00013,LOCK,
##END region overview

##BEG ompp callgraph
Inclusive,(%),Exclusive,(%)
0.001155,100.0,0.000437,37.819983,0,[unknown: 8 threads]
0.000263,22.770438,0.000263,22.770438,1,R00001,PARALLEL,main.c,41,42,
0.000455,39.409579,0.000455,39.409579,1,R00002,PARALLEL,main.c,180,208,
##END ompp callgraph

##BEG flat region profiles
##BEG R00001 flat profile
R00001,PARALLEL,main.c,41,42,
TID,execT,execC,bodyT,exitBarT,startupT,shutdwnT,taskT
0,0.000261,1,0.000002,0.000018,0.000232,0.000008,0.000000
1,0.000261,1,0.000002,0.000020,0.000230,0.000008,0.000000
2,0.000261,1,0.000002,0.000024,0.000230,0.000004,0.000000
3,0.000261,1,0.000002,0.000018,0.000232,0.000009,0.000000
4,0.000261,1,0.000002,0.000014,0.000230,0.000014,0.000000
5,0.000261,1,0.000002,0.000024,0.000231,0.000003,0.000000
6,0.000261,1,0.000003,0.000020,0.000229,0.000008,0.000000
7,0.000261,1,0.000002,0.000024,0.000231,0.000003,0.000000
SUM,0.002087,8,0.000017,0.000162,0.001844,0.000056,0.000000
##END R00001 flat profile

##BEG R00005 flat profile
R00005,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000348,11,0.000037,0.000303,0.000008
1,0.000293,13,0.000050,0.000233,0.000010
2,0.000314,11,0.000040,0.000265,0.000009
3,0.000268,13,0.000052,0.000207,0.000009
4,0.000338,10,0.000036,0.000296,0.000007
5,0.000266,14,0.000054,0.000206,0.000006
6,0.000371,5,0.000019,0.000348,0.000004
7,0.000252,19,0.000071,0.000167,0.000014
SUM,0.002450,96,0.000359,0.002024,0.000067
##END R00005 flat profile

##BEG R00006 flat profile
R00006,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000058,9,0.000037,0.000014,0.000007
1,0.000082,12,0.000047,0.000026,0.000008
2,0.000067,10,0.000042,0.000019,0.000006
3,0.000085,12,0.000046,0.000028,0.000011
4,0.000058,9,0.000036,0.000017,0.000005
5,0.000087,13,0.000052,0.000026,0.000009
6,0.000031,4,0.000017,0.000012,0.000002
7,0.000114,18,0.000060,0.000044,0.000010
SUM,0.000581,87,0.000338,0.000186,0.000057
##END R00006 flat profile

##BEG R00007 flat profile
R00007,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000035,6,0.000025,0.000007,0.000003
1,0.000054,11,0.000040,0.000010,0.000004
2,0.000054,9,0.000036,0.000012,0.000006
3,0.000063,12,0.000046,0.000007,0.000011
4,0.000039,7,0.000026,0.000007,0.000006
5,0.000070,13,0.000048,0.000015,0.000007
6,0.000022,4,0.000015,0.000004,0.000003
7,0.000066,13,0.000045,0.000013,0.000008
SUM,0.000404,75,0.000279,0.000075,0.000049
##END R00007 flat profile

##BEG R00008 flat profile
R00008,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000027,5,0.000019,0.000004,0.000004
1,0.000047,9,0.000031,0.000009,0.000007
2,0.000044,8,0.000029,0.000009,0.000006
3,0.000058,10,0.000041,0.000010,0.000007
4,0.000035,6,0.000023,0.000006,0.000006
5,0.000060,11,0.000040,0.000012,0.000008
6,0.000021,4,0.000013,0.000005,0.000003
7,0.000054,10,0.000036,0.000010,0.000008
SUM,0.000346,63,0.000234,0.000065,0.000047
##END R00008 flat profile

##BEG R00009 flat profile
R00009,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000019,3,0.000013,0.000004,0.000002
1,0.000037,7,0.000022,0.000008,0.000007
2,0.000033,6,0.000024,0.000005,0.000004
3,0.000046,9,0.000032,0.000009,0.000006
4,0.000027,6,0.000021,0.000004,0.000002
5,0.000046,8,0.000028,0.000010,0.000008
6,0.000017,3,0.000011,0.000003,0.000003
7,0.000046,9,0.000031,0.000008,0.000007
SUM,0.000270,51,0.000182,0.000050,0.000038
##END R00009 flat profile

##BEG R00010 flat profile
